c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 37887 13258.448974609375 0.0 30 1 0 192.168.43.1 53 13344.720947265625 0.0 150 1 0 - - 192.168.43.1@53_192.168.43.106@37887 13258.448974609375 13344.720947265625 "1970-01-01 00:00:13.258448975" "1970-01-01 00:00:13.258448975" "1970-01-01 00:00:13.344720947" "1970-01-01 00:00:13.344720947"  UNKNOWN 30.00B 150.00B
192.168.43.106 33094 13672.779052734375 0.0 39 1 19 192.168.43.1 53 13676.10888671875 0.0 103 1 19 - - 192.168.43.1@53_192.168.43.106@33094 13672.779052734375 13676.10888671875 "1970-01-01 00:00:13.672779053" "1970-01-01 00:00:13.672779053" "1970-01-01 00:00:13.676108887" "1970-01-01 00:00:13.676108887"  DNS 39.00B 103.00B
192.168.43.106 27915 13672.845703125 0.0 39 1 0 192.168.43.1 53 13731.739013671875 0.0 120 1 0 - - 192.168.43.1@53_192.168.43.106@27915 13672.845703125 13731.739013671875 "1970-01-01 00:00:13.672845703" "1970-01-01 00:00:13.672845703" "1970-01-01 00:00:13.731739014" "1970-01-01 00:00:13.731739014"  UNKNOWN 39.00B 120.00B
192.168.43.106 46511 13705.08203125 0.0 53 1 19 192.168.43.1 53 13708.89599609375 0.0 117 1 19 - - 192.168.43.1@53_192.168.43.106@46511 13705.08203125 13708.89599609375 "1970-01-01 00:00:13.705082031" "1970-01-01 00:00:13.705082031" "1970-01-01 00:00:13.708895996" "1970-01-01 00:00:13.708895996"  DNS 53.00B 117.00B
192.168.43.106 58051 13705.149658203125 0.0 53 1 0 192.168.43.1 53 13800.739990234375 0.0 134 1 0 - - 192.168.43.1@53_192.168.43.106@58051 13705.149658203125 13800.739990234375 "1970-01-01 00:00:13.705149658" "1970-01-01 00:00:13.705149658" "1970-01-01 00:00:13.800739990" "1970-01-01 00:00:13.800739990"  UNKNOWN 53.00B 134.00B
192.168.43.106 51945 13706.337890625 0.0 63 1 19 192.168.43.1 53 13712.161865234375 0.0 111 1 19 - - 192.168.43.1@53_192.168.43.106@51945 13706.337890625 13712.161865234375 "1970-01-01 00:00:13.706337891" "1970-01-01 00:00:13.706337891" "1970-01-01 00:00:13.712161865" "1970-01-01 00:00:13.712161865"  DNS 63.00B 111.00B
192.168.43.106 54096 13706.40966796875 0.0 63 1 0 192.168.43.1 53 13751.781982421875 0.0 147 1 0 - - 192.168.43.1@53_192.168.43.106@54096 13706.40966796875 13751.781982421875 "1970-01-01 00:00:13.706409668" "1970-01-01 00:00:13.706409668" "1970-01-01 00:00:13.751781982" "1970-01-01 00:00:13.751781982"  UNKNOWN 63.00B 147.00B
192.168.43.106 22786 13708.452880859375 0.0 50 1 19 192.168.43.1 53 13712.1640625 0.0 114 1 19 - - 192.168.43.1@53_192.168.43.106@22786 13708.452880859375 13712.1640625 "1970-01-01 00:00:13.708452881" "1970-01-01 00:00:13.708452881" "1970-01-01 00:00:13.712164062" "1970-01-01 00:00:13.712164062"  DNS 50.00B 114.00B
192.168.43.106 55700 13708.5400390625 0.0 50 1 0 192.168.43.1 53 13758.295654296875 0.0 134 1 0 - - 192.168.43.1@53_192.168.43.106@55700 13708.5400390625 13758.295654296875 "1970-01-01 00:00:13.708540039" "1970-01-01 00:00:13.708540039" "1970-01-01 00:00:13.758295654" "1970-01-01 00:00:13.758295654"  UNKNOWN 50.00B 134.00B
192.168.43.106 42235 13711.135009765625 0.0 51 1 19 192.168.43.1 53 13715.426025390625 0.0 99 1 19 - - 192.168.43.1@53_192.168.43.106@42235 13711.135009765625 13715.426025390625 "1970-01-01 00:00:13.711135010" "1970-01-01 00:00:13.711135010" "1970-01-01 00:00:13.715426025" "1970-01-01 00:00:13.715426025"  DNS 51.00B 99.00B
192.168.43.106 16550 13711.2197265625 0.0 51 1 0 192.168.43.1 53 13787.68603515625 0.0 132 1 0 - - 192.168.43.1@53_192.168.43.106@16550 13711.2197265625 13787.68603515625 "1970-01-01 00:00:13.711219727" "1970-01-01 00:00:13.711219727" "1970-01-01 00:00:13.787686035" "1970-01-01 00:00:13.787686035"  UNKNOWN 51.00B 132.00B
192.168.43.106 55773 13715.37109375 0.0 36 1 19 192.168.43.1 53 13758.296875 0.0 168 1 19 - - 192.168.43.1@53_192.168.43.106@55773 13715.37109375 13758.296875 "1970-01-01 00:00:13.715371094" "1970-01-01 00:00:13.715371094" "1970-01-01 00:00:13.758296875" "1970-01-01 00:00:13.758296875"  DNS 36.00B 168.00B
192.168.43.106 12143 13715.474853515625 0.0 36 1 0 192.168.43.1 53 13764.833984375 0.0 138 1 0 - - 192.168.43.1@53_192.168.43.106@12143 13715.474853515625 13764.833984375 "1970-01-01 00:00:13.715474854" "1970-01-01 00:00:13.715474854" "1970-01-01 00:00:13.764833984" "1970-01-01 00:00:13.764833984"  UNKNOWN 36.00B 138.00B
192.168.43.106 54201 13718.616943359375 0.0 50 1 19 192.168.43.1 53 13800.740966796875 0.0 297 1 19 - - 192.168.43.1@53_192.168.43.106@54201 13718.616943359375 13800.740966796875 "1970-01-01 00:00:13.718616943" "1970-01-01 00:00:13.718616943" "1970-01-01 00:00:13.800740967" "1970-01-01 00:00:13.800740967"  DNS 50.00B 297.00B
192.168.43.106 41989 13718.6689453125 0.0 50 1 0 192.168.43.1 53 13829.536865234375 0.0 177 1 0 - - 192.168.43.1@53_192.168.43.106@41989 13718.6689453125 13829.536865234375 "1970-01-01 00:00:13.718668945" "1970-01-01 00:00:13.718668945" "1970-01-01 00:00:13.829536865" "1970-01-01 00:00:13.829536865"  UNKNOWN 50.00B 177.00B
192.168.43.106 29437 14088.93701171875 0.0 42 1 19 192.168.43.1 53 14146.366943359375 0.0 74 1 19 - - 192.168.43.1@53_192.168.43.106@29437 14088.93701171875 14146.366943359375 "1970-01-01 00:00:14.088937012" "1970-01-01 00:00:14.088937012" "1970-01-01 00:00:14.146366943" "1970-01-01 00:00:14.146366943"  DNS 42.00B 74.00B
