c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 55068 151.101.242.49 443 31191.1826171875 765.763 11 0 11 1 1028 10 1 218 0 0 0 15 0 15 10 1295 5 0 0 0 0 0 151.101.242.49@443_192.168.84.55@55068 31956.9456171875 "1970-01-01 00:00:31.191182617" "1970-01-01 00:00:31.956945617" 1.00KB 1.26KB "0.01 kbits" "0.01 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 35978 13.226.175.42 443 31703.052490234375 995.701 29 0 29 9 1802 20 0 0 0 0 0 44 0 44 17 29706 27 0 0 0 0 0 13.226.175.42@443_192.168.84.55@35978 32698.753490234376 "1970-01-01 00:00:31.703052490" "1970-01-01 00:00:32.698753490" 1.76KB 29.01KB "0.01 kbits" "0.24 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37820 18.66.218.64 443 31183.803466796875 737.028 10 0 10 4 1096 6 1 449 0 0 0 13 0 13 6 4028 7 0 0 0 0 0 18.66.218.64@443_192.168.84.55@37820 31920.831466796873 "1970-01-01 00:00:31.183803467" "1970-01-01 00:00:31.920831467" 1.07KB 3.93KB "0.01 kbits" "0.04 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 35978 13.226.175.42 443 32705.29248046875 997.615 434 0 434 431 105 3 0 0 0 0 0 588 0 588 0 6445872 588 0 0 0 0 0 13.226.175.42@443_192.168.84.55@35978 33702.90748046875 "1970-01-01 00:00:32.705292480" "1970-01-01 00:00:33.702907480" 105.00B 6.15MB "0.00 kbits" "51.69 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 56220 34.250.131.170 443 33020.599609375 868.206 17 0 16 4 8304 12 1 487 0 1 0 11 0 11 5 6917 5 0 0 0 1 0 34.250.131.170@443_192.168.84.55@56220 33888.805609375 "1970-01-01 00:00:33.020599609" "1970-01-01 00:00:33.888805609" 8.11KB 6.75KB "0.08 kbits" "0.06 kbits" cws.conviva.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 37770 91.81.129.236 443 33043.212646484375 787.998 13 0 12 6 3597 6 1 845 0 1 0 11 0 11 5 7002 5 0 0 0 1 0 91.81.129.236@443_192.168.84.55@37770 33831.210646484375 "1970-01-01 00:00:33.043212646" "1970-01-01 00:00:33.831210646" 3.51KB 6.84KB "0.04 kbits" "0.07 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 34252 3.75.98.239 443 31731.758544921875 967.019 12 0 12 4 949 8 0 0 0 0 0 12 0 12 7 449 5 0 0 0 0 0 3.75.98.239@443_192.168.84.55@34252 32698.777544921875 "1970-01-01 00:00:31.731758545" "1970-01-01 00:00:32.698777545" 949.00B 449.00B "0.01 kbits" "0.00 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37782 91.81.129.236 443 33831.65966796875 704.351 66 0 65 61 2972 4 0 0 0 1 0 95 0 95 4 1104326 90 0 0 0 1 0 91.81.129.236@443_192.168.84.55@37782 34536.01066796875 "1970-01-01 00:00:33.831659668" "1970-01-01 00:00:34.536010668" 2.90KB 1.05MB "0.03 kbits" "12.54 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 37802 91.81.129.236 443 33832.816650390625 497.019 9 0 8 4 2960 4 0 0 0 1 0 9 0 9 4 2564 4 0 0 0 1 0 91.81.129.236@443_192.168.84.55@37802 34329.835650390625 "1970-01-01 00:00:33.832816650" "1970-01-01 00:00:34.329835650" 2.89KB 2.50KB "0.05 kbits" "0.04 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 37770 91.81.129.236 443 34151.820556640625 154.004 11 0 11 10 865 1 0 0 0 0 0 22 0 22 2 34752 20 0 0 0 0 0 91.81.129.236@443_192.168.84.55@37770 34305.824556640626 "1970-01-01 00:00:34.151820557" "1970-01-01 00:00:34.305824557" 865.00B 33.94KB "0.04 kbits" "1.81 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 35966 3.126.67.130 443 31959.893310546875 614.42 12 0 11 2 4112 9 0 0 0 1 0 12 0 12 9 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@35966 32574.313310546873 "1970-01-01 00:00:31.959893311" "1970-01-01 00:00:32.574313311" 4.02KB 357.00B "0.05 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 37802 91.81.129.236 443 35371.586669921875 993.067 89 0 89 86 2599 3 0 0 0 0 0 91 0 91 3 1135269 88 0 0 0 0 0 91.81.129.236@443_192.168.84.55@37802 36364.65366992188 "1970-01-01 00:00:35.371586670" "1970-01-01 00:00:36.364653670" 2.54KB 1.08MB "0.02 kbits" "9.15 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 38184 23.51.48.218 443 34176.964599609375 182.03 10 0 9 5 2419 4 0 0 0 1 0 10 0 10 4 4673 4 1 0 0 2 0 23.51.48.218@443_192.168.84.55@38184 34358.994599609374 "1970-01-01 00:00:34.176964600" "1970-01-01 00:00:34.358994600" 2.36KB 4.56KB "0.11 kbits" "0.21 kbits" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 37770 91.81.129.236 443 35581.029296875 999.067 73 0 73 69 3464 4 0 0 0 0 0 76 0 76 4 1112885 72 0 0 0 0 0 91.81.129.236@443_192.168.84.55@37770 36580.096296875 "1970-01-01 00:00:35.581029297" "1970-01-01 00:00:36.580096297" 3.38KB 1.06MB "0.03 kbits" "8.91 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 37782 91.81.129.236 443 35325.004638671875 588.024 49 0 49 46 2577 3 0 0 0 0 0 60 0 60 3 1121077 57 0 0 0 0 0 91.81.129.236@443_192.168.84.55@37782 35913.02863867187 "1970-01-01 00:00:35.325004639" "1970-01-01 00:00:35.913028639" 2.52KB 1.07MB "0.04 kbits" "15.25 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
