c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 9607 12685.87353515625 0.0 44 1 19 192.168.84.198 53 12690.2861328125 0.0 108 1 19 - - 192.168.84.198@53_192.168.84.55@9607 12685.87353515625 12690.2861328125 "1970-01-01 00:00:12.685873535" "1970-01-01 00:00:12.685873535" "1970-01-01 00:00:12.690286133" "1970-01-01 00:00:12.690286133"  DNS 44.00B 108.00B
192.168.84.55 41767 12685.92333984375 0.0 44 1 0 192.168.84.198 53 12719.412353515625 0.0 128 1 0 - - 192.168.84.198@53_192.168.84.55@41767 12685.92333984375 12719.412353515625 "1970-01-01 00:00:12.685923340" "1970-01-01 00:00:12.685923340" "1970-01-01 00:00:12.719412354" "1970-01-01 00:00:12.719412354"  UNKNOWN 44.00B 128.00B
192.168.84.55 61782 12696.434326171875 0.0 51 1 19 192.168.84.198 53 12753.508544921875 0.0 115 1 19 - - 192.168.84.198@53_192.168.84.55@61782 12696.434326171875 12753.508544921875 "1970-01-01 00:00:12.696434326" "1970-01-01 00:00:12.696434326" "1970-01-01 00:00:12.753508545" "1970-01-01 00:00:12.753508545"  DNS 51.00B 115.00B
192.168.84.55 40445 12696.475341796875 0.0 51 1 18 192.168.84.198 53 12753.50634765625 0.0 135 1 18 - - 192.168.84.198@53_192.168.84.55@40445 12696.475341796875 12753.50634765625 "1970-01-01 00:00:12.696475342" "1970-01-01 00:00:12.696475342" "1970-01-01 00:00:12.753506348" "1970-01-01 00:00:12.753506348"  P2P_OKAD 51.00B 135.00B
192.168.84.55 47398 12703.157470703125 0.0 45 1 19 192.168.84.198 53 12710.893310546875 0.0 109 1 19 - - 192.168.84.198@53_192.168.84.55@47398 12703.157470703125 12710.893310546875 "1970-01-01 00:00:12.703157471" "1970-01-01 00:00:12.703157471" "1970-01-01 00:00:12.710893311" "1970-01-01 00:00:12.710893311"  DNS 45.00B 109.00B
192.168.84.55 47813 12703.21533203125 0.0 45 1 0 192.168.84.198 53 12753.50732421875 0.0 129 1 0 - - 192.168.84.198@53_192.168.84.55@47813 12703.21533203125 12753.50732421875 "1970-01-01 00:00:12.703215332" "1970-01-01 00:00:12.703215332" "1970-01-01 00:00:12.753507324" "1970-01-01 00:00:12.753507324"  UNKNOWN 45.00B 129.00B
192.168.84.55 63403 12703.743408203125 0.0 45 1 19 192.168.84.198 53 12710.8955078125 0.0 152 1 19 - - 192.168.84.198@53_192.168.84.55@63403 12703.743408203125 12710.8955078125 "1970-01-01 00:00:12.703743408" "1970-01-01 00:00:12.703743408" "1970-01-01 00:00:12.710895508" "1970-01-01 00:00:12.710895508"  DNS 45.00B 152.00B
192.168.84.55 47099 12703.79345703125 0.0 45 1 0 192.168.84.198 53 12808.780517578125 0.0 166 1 0 - - 192.168.84.198@53_192.168.84.55@47099 12703.79345703125 12808.780517578125 "1970-01-01 00:00:12.703793457" "1970-01-01 00:00:12.703793457" "1970-01-01 00:00:12.808780518" "1970-01-01 00:00:12.808780518"  UNKNOWN 45.00B 166.00B
192.168.84.55 31978 12736.596435546875 0.0 30 1 19 192.168.84.198 53 12742.274169921875 0.0 137 1 19 - - 192.168.84.198@53_192.168.84.55@31978 12736.596435546875 12742.274169921875 "1970-01-01 00:00:12.736596436" "1970-01-01 00:00:12.736596436" "1970-01-01 00:00:12.742274170" "1970-01-01 00:00:12.742274170"  DNS 30.00B 137.00B
192.168.84.55 47630 12736.663330078125 0.0 30 1 0 192.168.84.198 53 12808.900146484375 0.0 150 1 0 - - 192.168.84.198@53_192.168.84.55@47630 12736.663330078125 12808.900146484375 "1970-01-01 00:00:12.736663330" "1970-01-01 00:00:12.736663330" "1970-01-01 00:00:12.808900146" "1970-01-01 00:00:12.808900146"  UNKNOWN 30.00B 150.00B
