c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 9844 13860.017822265625 0.0 39 1 0 192.168.43.1 53 13921.61181640625 0.0 120 1 0 - - 192.168.43.1@53_192.168.43.106@9844 13860.017822265625 13921.61181640625 "1970-01-01 00:00:13.860017822" "1970-01-01 00:00:13.860017822" "1970-01-01 00:00:13.921611816" "1970-01-01 00:00:13.921611816"  UNKNOWN 39.00B 120.00B
192.168.43.106 1999 13882.808837890625 0.0 53 1 19 192.168.43.1 53 13931.421630859375 0.0 254 1 19 - - 192.168.43.1@53_192.168.43.106@1999 13882.808837890625 13931.421630859375 "1970-01-01 00:00:13.882808838" "1970-01-01 00:00:13.882808838" "1970-01-01 00:00:13.931421631" "1970-01-01 00:00:13.931421631"  DNS 53.00B 254.00B
192.168.43.106 54489 13882.898681640625 0.0 53 1 0 192.168.43.1 53 13941.32275390625 0.0 134 1 0 - - 192.168.43.1@53_192.168.43.106@54489 13882.898681640625 13941.32275390625 "1970-01-01 00:00:13.882898682" "1970-01-01 00:00:13.882898682" "1970-01-01 00:00:13.941322754" "1970-01-01 00:00:13.941322754"  UNKNOWN 53.00B 134.00B
192.168.43.106 3232 13883.983642578125 0.0 63 1 19 192.168.43.1 53 13918.35546875 0.0 248 1 19 - - 192.168.43.1@53_192.168.43.106@3232 13883.983642578125 13918.35546875 "1970-01-01 00:00:13.883983643" "1970-01-01 00:00:13.883983643" "1970-01-01 00:00:13.918355469" "1970-01-01 00:00:13.918355469"  DNS 63.00B 248.00B
192.168.43.106 15819 13884.047607421875 0.0 63 1 0 192.168.43.1 53 13947.73876953125 0.0 147 1 0 - - 192.168.43.1@53_192.168.43.106@15819 13884.047607421875 13947.73876953125 "1970-01-01 00:00:13.884047607" "1970-01-01 00:00:13.884047607" "1970-01-01 00:00:13.947738770" "1970-01-01 00:00:13.947738770"  UNKNOWN 63.00B 147.00B
192.168.43.106 43596 13885.8857421875 0.0 50 1 19 192.168.43.1 53 13921.61083984375 0.0 251 1 19 - - 192.168.43.1@53_192.168.43.106@43596 13885.8857421875 13921.61083984375 "1970-01-01 00:00:13.885885742" "1970-01-01 00:00:13.885885742" "1970-01-01 00:00:13.921610840" "1970-01-01 00:00:13.921610840"  DNS 50.00B 251.00B
192.168.43.106 29074 13885.94873046875 0.0 50 1 0 192.168.43.1 53 13951.009765625 0.0 134 1 0 - - 192.168.43.1@53_192.168.43.106@29074 13885.94873046875 13951.009765625 "1970-01-01 00:00:13.885948730" "1970-01-01 00:00:13.885948730" "1970-01-01 00:00:13.951009766" "1970-01-01 00:00:13.951009766"  UNKNOWN 50.00B 134.00B
192.168.43.106 17530 13888.3818359375 0.0 51 1 19 192.168.43.1 53 13941.32373046875 0.0 236 1 19 - - 192.168.43.1@53_192.168.43.106@17530 13888.3818359375 13941.32373046875 "1970-01-01 00:00:13.888381836" "1970-01-01 00:00:13.888381836" "1970-01-01 00:00:13.941323730" "1970-01-01 00:00:13.941323730"  DNS 51.00B 236.00B
192.168.43.106 58145 13888.44482421875 0.0 51 1 0 192.168.43.1 53 13951.009765625 0.0 132 1 0 - - 192.168.43.1@53_192.168.43.106@58145 13888.44482421875 13951.009765625 "1970-01-01 00:00:13.888444824" "1970-01-01 00:00:13.888444824" "1970-01-01 00:00:13.951009766" "1970-01-01 00:00:13.951009766"  UNKNOWN 51.00B 132.00B
192.168.43.106 30164 13892.673828125 0.0 36 1 19 192.168.43.1 53 13924.871826171875 0.0 168 1 19 - - 192.168.43.1@53_192.168.43.106@30164 13892.673828125 13924.871826171875 "1970-01-01 00:00:13.892673828" "1970-01-01 00:00:13.892673828" "1970-01-01 00:00:13.924871826" "1970-01-01 00:00:13.924871826"  DNS 36.00B 168.00B
