c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 35142 52.29.231.145 443 14146.75830078125 939.388 18 0 4324 10 0 0 0 1 0 18 0 8544 8 0 0 0 1 0 52.29.231.145@443_192.168.84.55@35142 15086.14630078125 "1970-01-01 00:00:14.146758301" "1970-01-01 00:00:15.086146301" 4.22KB 8.34KB "0.04 kbits" "0.07 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 58394 108.139.243.81 443 30018.42626953125 831.792 86 0 18066 29 2 144 0 0 0 133 0 206191 106 0 0 0 0 0 108.139.243.81@443_192.168.84.55@58394 30850.21826953125 "1970-01-01 00:00:30.018426270" "1970-01-01 00:00:30.850218270" 17.64KB 201.36KB "0.17 kbits" "1.98 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57244 13.226.175.112 443 31229.856201171875 997.558 24 0 1615 18 0 0 0 0 0 34 0 14508 17 0 0 0 0 0 13.226.175.112@443_192.168.84.55@57244 32227.414201171876 "1970-01-01 00:00:31.229856201" "1970-01-01 00:00:32.227414201" 1.58KB 14.17KB "0.01 kbits" "0.12 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 51558 18.66.218.48 443 30821.765380859375 527.78 8 0 1096 5 0 0 0 0 0 12 0 4035 7 0 0 0 0 0 18.66.218.48@443_192.168.84.55@51558 31349.545380859374 "1970-01-01 00:00:30.821765381" "1970-01-01 00:00:31.349545381" 1.07KB 3.94KB "0.02 kbits" "0.06 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 41150 199.127.193.108 443 31950.55517578125 999.581 12 0 5219 7 0 0 0 1 0 12 0 7393 4 0 0 0 1 0 199.127.193.108@443_192.168.84.55@41150 32950.13617578125 "1970-01-01 00:00:31.950555176" "1970-01-01 00:00:32.950136176" 5.10KB 7.22KB "0.04 kbits" "0.06 kbits" cws.conviva.com HTTP/1.x-HTTP/2_null
192.168.84.55 57244 13.226.175.112 443 32244.60302734375 996.828 360 0 70 2 0 0 0 0 0 491 0 5875404 491 0 0 0 0 0 13.226.175.112@443_192.168.84.55@57244 33241.43102734375 "1970-01-01 00:00:32.244603027" "1970-01-01 00:00:33.241431027" 70.00B 5.60MB "0.00 kbits" "47.15 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 33208 91.81.128.189 443 32547.3330078125 982.042 14 0 4462 7 1 845 0 1 0 15 0 8943 8 1 1400 0 1 0 91.81.128.189@443_192.168.84.55@33208 33529.3750078125 "1970-01-01 00:00:32.547333008" "1970-01-01 00:00:33.529375008" 4.36KB 8.73KB "0.04 kbits" "0.07 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 47134 3.75.98.239 443 31189.46630859375 833.291 12 0 949 8 0 0 0 0 0 13 0 447 5 0 0 0 0 0 3.75.98.239@443_192.168.84.55@47134 32022.75730859375 "1970-01-01 00:00:31.189466309" "1970-01-01 00:00:32.022757309" 949.00B 447.00B "0.01 kbits" "0.00 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 48438 52.33.166.48 443 32523.773193359375 836.012 9 0 2475 4 0 0 0 1 0 6 0 6363 3 0 0 0 1 0 52.33.166.48@443_192.168.84.55@48438 33359.78519335938 "1970-01-01 00:00:32.523773193" "1970-01-01 00:00:33.359785193" 2.42KB 6.21KB "0.02 kbits" "0.06 kbits" cws.conviva.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 48452 52.33.166.48 443 32774.315185546875 965.04 9 0 1924 3 0 0 0 1 0 7 0 6363 4 0 0 0 1 0 52.33.166.48@443_192.168.84.55@48452 33739.355185546876 "1970-01-01 00:00:32.774315186" "1970-01-01 00:00:33.739355186" 1.88KB 6.21KB "0.02 kbits" "0.05 kbits" cws.conviva.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 39742 3.126.67.130 443 33809.75439453125 272.402 8 0 2483 4 0 0 0 1 0 7 0 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@39742 34082.15639453125 "1970-01-01 00:00:33.809754395" "1970-01-01 00:00:34.082156395" 2.42KB 357.00B "0.07 kbits" "0.01 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 33208 91.81.128.189 443 33548.9150390625 676.773 89 0 867 1 0 0 0 0 0 89 0 1375250 88 1 1400 0 0 0 91.81.128.189@443_192.168.84.55@33208 34225.6880390625 "1970-01-01 00:00:33.548915039" "1970-01-01 00:00:34.225688039" 867.00B 1.31MB "0.01 kbits" "16.26 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 33216 91.81.128.189 443 32944.489013671875 903.417 8 0 2992 4 0 0 0 1 0 9 0 2562 4 0 0 0 1 0 91.81.128.189@443_192.168.84.55@33216 33847.906013671876 "1970-01-01 00:00:32.944489014" "1970-01-01 00:00:33.847906014" 2.92KB 2.50KB "0.03 kbits" "0.02 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 33226 91.81.128.189 443 32945.084228515625 945.453 7 0 2169 3 0 0 0 1 0 6 0 547 2 0 0 0 1 0 91.81.128.189@443_192.168.84.55@33226 33890.537228515626 "1970-01-01 00:00:32.945084229" "1970-01-01 00:00:33.890537229" 2.12KB 547.00B "0.02 kbits" "0.00 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 33234 91.81.128.189 443 32945.55224609375 903.744 8 0 1834 3 0 0 0 1 0 8 0 3998 4 0 0 0 1 0 91.81.128.189@443_192.168.84.55@33234 33849.29624609375 "1970-01-01 00:00:32.945552246" "1970-01-01 00:00:33.849296246" 1.79KB 3.90KB "0.02 kbits" "0.04 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
192.168.84.55 39728 3.126.67.130 443 31543.717041015625 621.413 12 0 4080 9 1 495 0 1 0 12 0 357 2 0 0 0 1 0 3.126.67.130@443_192.168.84.55@39728 32165.130041015625 "1970-01-01 00:00:31.543717041" "1970-01-01 00:00:32.165130040" 3.98KB 357.00B "0.05 kbits" "0.00 kbits" pubby.indazn.com HTTP/1.x_HTTP/1.x
192.168.84.55 33234 91.81.128.189 443 35031.683349609375 999.461 130 0 3466 4 0 0 0 0 0 153 0 2735941 149 0 0 0 0 0 91.81.128.189@443_192.168.84.55@33234 36031.14434960938 "1970-01-01 00:00:35.031683350" "1970-01-01 00:00:36.031144350" 3.38KB 2.61MB "0.03 kbits" "21.90 kbits" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null
