c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 45952 18 0 4905 7 0 0 0 1 1 3.122.35.100 443 18 0 6753 9 0 0 0 1 1 152415.1962890625 162803.3603515625 8192 concurrency.playback.indazn.com playback.indazn.com 160 128 concurrency.playback.indazn.com - 3.122.35.100@443_192.168.84.55@45952 "1970-01-01 00:02:32.415196289" "1970-01-01 00:02:42.803360352" playback.indazn.com HTTP/1.x-HTTP/2_HTTP/2 4.79KB 6.59KB "0.00 kbits" "0.01 kbits"
192.168.84.55 47628 16 0 4380 6 0 0 0 1 1 52.223.29.147 443 17 0 5941 8 1 640 0 1 1 158847.1953125 169114.95434570312 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@47628 "1970-01-01 00:02:38.847195312" "1970-01-01 00:02:49.114954346" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.28KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 57596 28 0 4175 11 1 910 0 1 1 93.184.221.165 443 29 0 5931 12 1 1388 0 1 1 20731.6552734375 219994.48095703125 8192 t.co - 160 0 t.co - 93.184.221.165@443_192.168.84.55@57596 "1970-01-01 00:00:20.731655273" "1970-01-01 00:03:39.994480957" t.co HTTP/1.x-HTTP/2_null 4.08KB 5.79KB "0.00 kbits" "0.00 kbits"
192.168.84.55 45302 16 0 6070 9 0 0 0 1 1 52.223.29.147 443 20 0 1063 8 0 0 0 1 1 218865.01831054688 229248.578125 8192 italy.scorecardresearch.com - 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@45302 "1970-01-01 00:03:38.865018311" "1970-01-01 00:03:49.248578125" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 5.93KB 1.04KB "0.00 kbits" "0.00 kbits"
192.168.84.55 34566 18 1 4828 13 0 0 0 1 1 18.193.36.184 443 23 0 576 9 0 0 0 1 0 30421.876220703125 232713.5771484375 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34566 "1970-01-01 00:00:30.421876221" "1970-01-01 00:03:52.713577148" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.71KB 576.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 46914 17 1 2834 12 0 0 0 1 1 18.193.36.184 443 23 0 576 9 0 0 0 1 0 34725.816162109375 232726.58935546875 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@46914 "1970-01-01 00:00:34.725816162" "1970-01-01 00:03:52.726589355" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.77KB 576.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 34588 18 1 4757 13 0 0 0 1 1 18.193.36.184 443 25 0 607 10 0 0 0 1 0 31885.187255859375 232729.91821289062 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34588 "1970-01-01 00:00:31.885187256" "1970-01-01 00:03:52.729918213" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.65KB 607.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 34580 22 1 4415 17 0 0 0 1 1 18.193.36.184 443 28 0 576 9 0 0 0 1 0 31602.994140625 232729.93017578125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@34580 "1970-01-01 00:00:31.602994141" "1970-01-01 00:03:52.729930176" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.31KB 576.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 47888 13 0 4338 6 0 0 0 1 1 52.223.29.147 443 17 0 5941 8 0 0 0 1 1 232725.35620117188 243058.83325195312 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@47888 "1970-01-01 00:03:52.725356201" "1970-01-01 00:04:03.058833252" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 4.24KB 5.80KB "0.00 kbits" "0.00 kbits"
192.168.84.55 56318 1416 1 44224 52 0 0 0 1 0 91.81.128.189 443 2032 0 32702967 1978 1 1400 0 1 1 115218.67724609375 249958.18823242188 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@56318 "1970-01-01 00:01:55.218677246" "1970-01-01 00:04:09.958188232" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 43.19KB 31.19MB "0.00 kbits" "1.94 kbits"
192.168.84.55 55468 14 1 4611 7 0 0 0 1 1 3.73.166.114 443 13 0 421 5 1 162 0 1 0 236623.03515625 250253.01928710938 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@55468 "1970-01-01 00:03:56.623035156" "1970-01-01 00:04:10.253019287" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.50KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 43668 15 1 4693 7 0 0 0 1 1 3.73.166.114 443 14 0 5819 6 0 0 0 1 0 233121.97094726562 250253.0693359375 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@43668 "1970-01-01 00:03:53.121970947" "1970-01-01 00:04:10.253069336" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.58KB 5.68KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55456 12 1 2712 6 0 0 0 1 1 3.73.166.114 443 12 0 421 4 0 0 0 1 0 234969.52734375 250253.44018554688 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.73.166.114@443_192.168.84.55@55456 "1970-01-01 00:03:54.969527344" "1970-01-01 00:04:10.253440186" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.65KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 44784 19 0 2319 7 0 0 0 1 1 142.250.185.74 443 21 0 9533 8 0 0 0 1 1 12726.08935546875 252999.54418945312 8192 translate.googleapis.com - 160 0 translate.googleapis.com - 142.250.185.74@443_192.168.84.55@44784 "1970-01-01 00:00:12.726089355" "1970-01-01 00:04:12.999544189" translate.googleapis.com HTTP/1.x-HTTP/2_null 2.26KB 9.31KB "0.00 kbits" "0.00 kbits"
192.168.84.55 51376 11 0 2137 3 0 0 0 1 1 91.81.129.236 443 11 0 4023 5 0 0 0 1 1 253500.48095703125 259541.85498046875 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@51376 "1970-01-01 00:04:13.500480957" "1970-01-01 00:04:19.541854980" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.09KB 3.93KB "0.00 kbits" "0.01 kbits"
192.168.84.55 51396 10 0 2137 3 0 0 0 1 1 91.81.129.236 443 9 0 571 3 0 0 0 1 1 261633.5341796875 267532.7072753906 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@51396 "1970-01-01 00:04:21.633534180" "1970-01-01 00:04:27.532707275" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.09KB 571.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 51404 10 0 2105 3 0 0 0 1 1 91.81.129.236 443 8 0 571 3 0 0 0 1 1 261634.01098632812 267532.7082519531 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.129.236@443_192.168.84.55@51404 "1970-01-01 00:04:21.634010986" "1970-01-01 00:04:27.532708252" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.06KB 571.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 49462 275 0 339170 253 0 0 0 1 1 35.158.144.103 443 250 0 7619 39 0 0 0 1 1 92046.73022460938 272191.0949707031 8192 total-rekall.metrics.indazn.com metrics.indazn.com 160 128 total-rekall.metrics.indazn.com - 35.158.144.103@443_192.168.84.55@49462 "1970-01-01 00:01:32.046730225" "1970-01-01 00:04:32.191094971" metrics.indazn.com HTTP/1.x-HTTP/2_HTTP/2 331.22KB 7.44KB "0.02 kbits" "0.00 kbits"
