c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.166.55 51550 23.196.137.203 443 13677.7099609375 144.617 8 0 7 4 816 3 0 0 0 1 0 7 0 7 1 5553 5 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51550 13822.3269609375 "1970-01-01 00:00:13.677709961" "1970-01-01 00:00:13.822326961" 816.00B 5.42KB "0.05 kbits" "0.31 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51551 23.196.137.203 443 13677.92578125 153.387 7 0 6 3 819 3 0 0 0 1 0 8 0 8 1 5560 6 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51551 13831.31278125 "1970-01-01 00:00:13.677925781" "1970-01-01 00:00:13.831312781" 819.00B 5.43KB "0.04 kbits" "0.29 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51549 23.196.137.203 443 13677.614990234375 158.614 8 0 7 4 815 3 0 0 0 1 0 7 0 7 1 5557 5 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51549 13836.228990234375 "1970-01-01 00:00:13.677614990" "1970-01-01 00:00:13.836228990" 815.00B 5.43KB "0.04 kbits" "0.28 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51548 23.196.137.203 443 13677.52099609375 154.639 8 0 7 4 816 3 0 0 0 1 0 8 0 8 1 5556 6 0 0 0 1 0 23.196.137.203@443_192.168.166.55@51548 13832.15999609375 "1970-01-01 00:00:13.677520996" "1970-01-01 00:00:13.832159996" 816.00B 5.43KB "0.04 kbits" "0.29 kbits" falke.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51583 18.65.82.60 443 48981.985107421875 169.21 2 0 2 1 1400 1 0 0 0 0 0 3 0 3 1 1638 2 0 0 0 0 0 18.65.82.60@443_192.168.166.55@51583 49151.195107421874 "1970-01-01 00:00:48.981985107" "1970-01-01 00:00:49.151195107" 1.37KB 1.60KB "0.07 kbits" "0.08 kbits" sb.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51608 52.223.29.147 443 49154.84716796875 63.676 3 0 3 1 1416 2 0 0 0 0 0 4 0 4 2 360 2 0 0 0 0 0 52.223.29.147@443_192.168.166.55@51608 49218.52316796875 "1970-01-01 00:00:49.154847168" "1970-01-01 00:00:49.218523167" 1.38KB 360.00B "0.18 kbits" "0.05 kbits" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51546 23.52.38.143 443 13662.31396484375 797.655 9 0 8 4 2868 4 0 0 0 1 0 10 0 10 3 3933 5 1 0 0 2 0 23.52.38.143@443_192.168.166.55@51546 14459.96896484375 "1970-01-01 00:00:13.662313965" "1970-01-01 00:00:14.459968965" 2.80KB 3.84KB "0.03 kbits" "0.04 kbits" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51586 63.140.62.27 443 50376.381103515625 220.56 2 0 2 1 632 1 0 0 0 0 0 2 0 2 1 68 1 0 0 0 0 0 63.140.62.27@443_192.168.166.55@51586 50596.94110351562 "1970-01-01 00:00:50.376381104" "1970-01-01 00:00:50.596941104" 632.00B 68.00B "0.02 kbits" "0.00 kbits" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51557 92.123.101.120 443 16993.940185546875 156.142 20 0 19 16 959 3 0 0 0 1 0 23 0 23 3 40400 19 0 0 0 1 0 92.123.101.120@443_192.168.166.55@51557 17150.082185546875 "1970-01-01 00:00:16.993940186" "1970-01-01 00:00:17.150082186" 959.00B 39.45KB "0.05 kbits" "2.07 kbits" skyq.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51561 23.51.48.42 443 17236.089111328125 559.869 34 0 33 13 13392 20 0 0 0 1 0 33 0 33 10 21307 22 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51561 17795.958111328124 "1970-01-01 00:00:17.236089111" "1970-01-01 00:00:17.795958111" 13.08KB 20.81KB "0.19 kbits" "0.30 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51563 23.51.48.42 443 17236.26416015625 573.474 32 0 31 11 13392 20 0 0 0 1 0 33 0 33 10 20851 22 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51563 17809.73816015625 "1970-01-01 00:00:17.236264160" "1970-01-01 00:00:17.809738160" 13.08KB 20.36KB "0.19 kbits" "0.29 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51562 23.51.48.42 443 17236.17578125 598.317 27 0 26 10 10488 16 0 0 0 1 0 27 0 27 8 17209 18 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51562 17834.49278125 "1970-01-01 00:00:17.236175781" "1970-01-01 00:00:17.834492781" 10.24KB 16.81KB "0.14 kbits" "0.23 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51564 23.51.48.42 443 17236.357177734375 594.26 26 0 25 9 10488 16 0 0 0 1 0 28 0 28 8 17452 19 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51564 17830.617177734373 "1970-01-01 00:00:17.236357178" "1970-01-01 00:00:17.830617178" 10.24KB 17.04KB "0.14 kbits" "0.23 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51565 23.51.48.42 443 17236.443115234375 609.408 37 0 36 14 14802 22 0 0 0 1 0 38 0 38 11 25789 26 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51565 17845.851115234374 "1970-01-01 00:00:17.236443115" "1970-01-01 00:00:17.845851115" 14.46KB 25.18KB "0.19 kbits" "0.34 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51560 23.51.48.42 443 17235.93310546875 614.47 35 0 34 12 14802 22 0 0 0 1 0 36 0 36 11 22053 24 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51560 17850.40310546875 "1970-01-01 00:00:17.235933105" "1970-01-01 00:00:17.850403105" 14.46KB 21.54KB "0.19 kbits" "0.29 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51572 23.51.48.42 443 18155.635009765625 235.183 9 0 8 5 1038 3 0 0 0 1 0 8 0 8 2 5414 5 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51572 18390.818009765626 "1970-01-01 00:00:18.155635010" "1970-01-01 00:00:18.390818010" 1.01KB 5.29KB "0.04 kbits" "0.18 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51568 23.51.48.42 443 18154.941162109375 180.811 8 0 7 4 1032 3 0 0 0 1 0 9 0 9 2 5408 6 0 0 0 1 0 23.51.48.42@443_192.168.166.55@51568 18335.752162109377 "1970-01-01 00:00:18.154941162" "1970-01-01 00:00:18.335752162" 1.01KB 5.28KB "0.05 kbits" "0.24 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
