c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 62500 108.138.192.9 443 16898.5244140625 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 108.138.192.9@443_192.168.84.55@62500 16898.5244140625 "1970-01-01 00:00:16.898524414" "1970-01-01 00:00:16.898524414" 0B 0B NaN NaN sb.scorecardresearch.com HTTP/1.x-HTTP/2_null
192.168.84.55 62468 23.214.205.236 443 17051.882568359375 844.196 14 0 14 14 0 0 0 0 0 0 0 26 0 26 0 36400 26 0 0 0 0 0 23.214.205.236@443_192.168.84.55@62468 17896.078568359375 "1970-01-01 00:00:17.051882568" "1970-01-01 00:00:17.896078568" 0B 35.55KB "0.00 kbits" "0.34 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62484 23.40.157.96 443 16288.908203125 973.41 3 0 2 1 525 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62484 17262.318203125 "1970-01-01 00:00:16.288908203" "1970-01-01 00:00:17.262318203" 525.00B 0B "0.00 kbits" "0.00 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62462 23.51.48.42 443 15639.562255859375 315.092 8 0 8 5 2007 3 0 0 0 0 0 10 0 10 0 10743 10 0 0 0 0 0 23.51.48.42@443_192.168.84.55@62462 15954.654255859376 "1970-01-01 00:00:15.639562256" "1970-01-01 00:00:15.954654256" 1.96KB 10.49KB "0.05 kbits" "0.27 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62458 23.51.48.42 443 15606.551513671875 331.117 7 0 7 4 2007 3 0 0 0 0 0 8 0 8 0 8144 8 0 0 0 0 0 23.51.48.42@443_192.168.84.55@62458 15937.668513671875 "1970-01-01 00:00:15.606551514" "1970-01-01 00:00:15.937668514" 1.96KB 7.95KB "0.05 kbits" "0.20 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62461 23.51.48.42 443 15565.62451171875 356.064 8 0 8 5 2007 3 0 0 0 0 0 10 0 10 0 11214 10 0 0 0 0 0 23.51.48.42@443_192.168.84.55@62461 15921.68851171875 "1970-01-01 00:00:15.565624512" "1970-01-01 00:00:15.921688512" 1.96KB 10.95KB "0.05 kbits" "0.25 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62471 23.51.48.42 443 17160.892578125 930.473 4 0 4 2 0 2 2 1656 0 0 0 5 0 5 3 274 2 1 499 0 0 0 23.51.48.42@443_192.168.84.55@62471 18091.365578124998 "1970-01-01 00:00:17.160892578" "1970-01-01 00:00:18.091365578" 0B 274.00B "0.00 kbits" "0.00 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62480 23.214.205.236 443 16276.634521484375 868.906 3 0 2 1 617 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62480 17145.540521484374 "1970-01-01 00:00:16.276634521" "1970-01-01 00:00:17.145540521" 617.00B 0B "0.01 kbits" "0.00 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62479 23.214.205.236 443 16276.148193359375 869.881 3 0 2 1 617 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62479 17146.029193359376 "1970-01-01 00:00:16.276148193" "1970-01-01 00:00:17.146029193" 617.00B 0B "0.01 kbits" "0.00 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62482 23.40.157.96 443 16287.88623046875 926.081 3 0 2 1 525 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62482 17213.96723046875 "1970-01-01 00:00:16.287886230" "1970-01-01 00:00:17.213967230" 525.00B 0B "0.00 kbits" "0.00 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62481 23.214.205.236 443 16276.82421875 936.702 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62481 17213.52621875 "1970-01-01 00:00:16.276824219" "1970-01-01 00:00:17.213526219" 517.00B 0B "0.00 kbits" "0.00 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62486 23.40.157.96 443 16290.95751953125 923.445 3 0 2 1 525 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62486 17214.40251953125 "1970-01-01 00:00:16.290957520" "1970-01-01 00:00:17.214402520" 525.00B 0B "0.00 kbits" "0.00 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62485 23.40.157.96 443 16289.91748046875 948.657 3 0 2 1 525 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62485 17238.57448046875 "1970-01-01 00:00:16.289917480" "1970-01-01 00:00:17.238574480" 525.00B 0B "0.00 kbits" "0.00 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62483 23.40.157.96 443 16288.126220703125 974.639 3 0 2 1 525 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62483 17262.765220703124 "1970-01-01 00:00:16.288126221" "1970-01-01 00:00:17.262765221" 525.00B 0B "0.00 kbits" "0.00 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62470 63.140.62.222 443 17430.986572265625 976.168 7 0 7 3 809 4 2 2786 0 0 0 8 0 8 4 922 4 2 2396 0 0 0 63.140.62.222@443_192.168.84.55@62470 18407.154572265626 "1970-01-01 00:00:17.430986572" "1970-01-01 00:00:18.407154572" 809.00B 922.00B "0.01 kbits" "0.01 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62487 2.22.32.177 443 17462.064208984375 0.03 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 2.22.32.177@443_192.168.84.55@62487 17462.094208984374 "1970-01-01 00:00:17.462064209" "1970-01-01 00:00:17.462094209" 0B 0B "0.00 kbits" "0.00 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62490 2.22.32.177 443 17535.99853515625 406.085 4 0 3 2 517 1 1 0 0 1 0 2 0 2 0 0 0 1 0 0 2 0 2.22.32.177@443_192.168.84.55@62490 17942.08353515625 "1970-01-01 00:00:17.535998535" "1970-01-01 00:00:17.942083535" 517.00B 0B "0.01 kbits" "0.00 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62495 2.22.32.177 443 17596.009521484375 384.123 4 0 3 2 517 1 1 0 0 1 0 2 0 2 0 0 0 1 0 0 2 0 2.22.32.177@443_192.168.84.55@62495 17980.132521484375 "1970-01-01 00:00:17.596009521" "1970-01-01 00:00:17.980132521" 517.00B 0B "0.01 kbits" "0.00 kbits" imageservice.sky.com UNKNOWN
192.168.84.55 62496 2.22.32.177 443 17596.007568359375 408.173 4 0 3 2 517 1 1 0 0 1 0 2 0 2 0 0 0 1 0 0 2 0 2.22.32.177@443_192.168.84.55@62496 18004.180568359374 "1970-01-01 00:00:17.596007568" "1970-01-01 00:00:18.004180568" 517.00B 0B "0.01 kbits" "0.00 kbits" imageservice.sky.com UNKNOWN
192.168.84.55 62497 2.22.32.177 443 17596.008544921875 408.215 4 0 3 2 517 1 1 0 0 1 0 2 0 2 0 0 0 1 0 0 2 0 2.22.32.177@443_192.168.84.55@62497 18004.223544921875 "1970-01-01 00:00:17.596008545" "1970-01-01 00:00:18.004223545" 517.00B 0B "0.01 kbits" "0.00 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
