c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
fe80::245:e2ff:feb8:eb6d 5353 153686.6318359375 0.0 45 1 0 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::245:e2ff:feb8:eb6d@5353 153686.6318359375 0.0 "1970-01-01 00:02:33.686631836" "1970-01-01 00:02:33.686631836" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 45.00B 0B
192.168.84.55 58177 12677.23779296875 0.0 33 1 19 192.168.84.198 53 12681.13818359375 0.0 125 1 19 - - 192.168.84.198@53_192.168.84.55@58177 12677.23779296875 12681.13818359375 "1970-01-01 00:00:12.677237793" "1970-01-01 00:00:12.677237793" "1970-01-01 00:00:12.681138184" "1970-01-01 00:00:12.681138184"  DNS 33.00B 125.00B
192.168.84.55 6190 12677.309814453125 0.0 33 1 0 192.168.84.198 53 12718.163818359375 0.0 149 1 0 - - 192.168.84.198@53_192.168.84.55@6190 12677.309814453125 12718.163818359375 "1970-01-01 00:00:12.677309814" "1970-01-01 00:00:12.677309814" "1970-01-01 00:00:12.718163818" "1970-01-01 00:00:12.718163818"  UNKNOWN 33.00B 149.00B
192.168.84.55 42928 12677.901123046875 0.0 42 1 19 192.168.84.198 53 12740.982177734375 0.0 74 1 19 - - 192.168.84.198@53_192.168.84.55@42928 12677.901123046875 12740.982177734375 "1970-01-01 00:00:12.677901123" "1970-01-01 00:00:12.677901123" "1970-01-01 00:00:12.740982178" "1970-01-01 00:00:12.740982178"  DNS 42.00B 74.00B
192.168.84.55 25751 12677.941162109375 0.0 42 1 0 192.168.84.198 53 12737.794189453125 0.0 112 1 0 - - 192.168.84.198@53_192.168.84.55@25751 12677.941162109375 12737.794189453125 "1970-01-01 00:00:12.677941162" "1970-01-01 00:00:12.677941162" "1970-01-01 00:00:12.737794189" "1970-01-01 00:00:12.737794189"  UNKNOWN 42.00B 112.00B
192.168.84.55 29689 12680.84912109375 0.0 47 1 19 192.168.84.198 53 12684.412109375 0.0 111 1 19 - - 192.168.84.198@53_192.168.84.55@29689 12680.84912109375 12684.412109375 "1970-01-01 00:00:12.680849121" "1970-01-01 00:00:12.680849121" "1970-01-01 00:00:12.684412109" "1970-01-01 00:00:12.684412109"  DNS 47.00B 111.00B
192.168.84.55 28590 12680.88818359375 0.0 47 1 0 192.168.84.198 53 12724.673828125 0.0 129 1 0 - - 192.168.84.198@53_192.168.84.55@28590 12680.88818359375 12724.673828125 "1970-01-01 00:00:12.680888184" "1970-01-01 00:00:12.680888184" "1970-01-01 00:00:12.724673828" "1970-01-01 00:00:12.724673828"  UNKNOWN 47.00B 129.00B
192.168.84.55 12685 12691.734130859375 0.0 44 1 19 192.168.84.198 53 12737.7890625 0.0 108 1 19 - - 192.168.84.198@53_192.168.84.55@12685 12691.734130859375 12737.7890625 "1970-01-01 00:00:12.691734131" "1970-01-01 00:00:12.691734131" "1970-01-01 00:00:12.737789062" "1970-01-01 00:00:12.737789062"  DNS 44.00B 108.00B
192.168.84.55 7020 12691.7998046875 0.0 44 1 0 192.168.84.198 53 12737.94580078125 0.0 128 1 0 - - 192.168.84.198@53_192.168.84.55@7020 12691.7998046875 12737.94580078125 "1970-01-01 00:00:12.691799805" "1970-01-01 00:00:12.691799805" "1970-01-01 00:00:12.737945801" "1970-01-01 00:00:12.737945801"  UNKNOWN 44.00B 128.00B
192.168.84.55 60421 12723.549072265625 0.0 51 1 19 192.168.84.198 53 12814.01904296875 0.0 115 1 19 - - 192.168.84.198@53_192.168.84.55@60421 12723.549072265625 12814.01904296875 "1970-01-01 00:00:12.723549072" "1970-01-01 00:00:12.723549072" "1970-01-01 00:00:12.814019043" "1970-01-01 00:00:12.814019043"  DNS 51.00B 115.00B
192.168.84.55 30625 12723.625 0.0 51 1 18 192.168.84.198 53 12795.89697265625 0.0 135 1 18 - - 192.168.84.198@53_192.168.84.55@30625 12723.625 12795.89697265625 "1970-01-01 00:00:12.723625000" "1970-01-01 00:00:12.723625000" "1970-01-01 00:00:12.795896973" "1970-01-01 00:00:12.795896973"  P2P_OKAD 51.00B 135.00B
